2026/07/05 18:49:45.333, 1680 MHz, 100 %, 310.61 W, 12126 MiB
2026/07/05 18:49:46.334, 1710 MHz, 100 %, 313.19 W, 12126 MiB
2026/07/05 18:49:47.334, 1695 MHz, 100 %, 312.58 W, 12126 MiB
2026/07/05 18:49:48.334, 1740 MHz, 100 %, 312.62 W, 12126 MiB
2026/07/05 18:49:49.335, 1785 MHz, 100 %, 319.53 W, 12126 MiB
2026/07/05 18:49:50.335, 1815 MHz, 100 %, 317.53 W, 12126 MiB
2026/07/05 18:49:51.335, 1800 MHz, 100 %, 315.92 W, 12126 MiB
2026/07/05 18:49:52.336, 1890 MHz, 0 %, 287.64 W, 12126 MiB
2026/07/05 18:49:53.336, 1905 MHz, 0 %, 197.13 W, 12126 MiB
2026/07/05 18:49:54.336, 1695 MHz, 0 %, 171.52 W, 12126 MiB
2026/07/05 18:49:55.337, 1695 MHz, 2 %, 139.68 W, 1 MiB
2026/07/05 18:49:56.337, 1920 MHz, 0 %, 171.20 W, 1 MiB
2026/07/05 18:49:57.338, 1920 MHz, 0 %, 176.18 W, 1 MiB
2026/07/05 18:49:58.338, 390 MHz, 0 %, 162.88 W, 1 MiB
2026/07/05 18:49:59.338, 225 MHz, 0 %, 98.62 W, 1 MiB
2026/07/05 18:50:00.339, 210 MHz, 0 %, 33.87 W, 1 MiB
2026/07/05 18:50:01.339, 210 MHz, 0 %, 30.73 W, 1 MiB
2026/07/05 18:50:02.339, 210 MHz, 0 %, 29.14 W, 1 MiB
2026/07/05 18:50:03.340, 210 MHz, 0 %, 28.48 W, 1 MiB
2026/07/05 18:50:04.340, 210 MHz, 0 %, 27.96 W, 1 MiB
2026/07/05 18:50:05.340, 210 MHz, 0 %, 27.42 W, 1 MiB
2026/07/05 18:50:06.341, 210 MHz, 0 %, 26.99 W, 1 MiB
2026/07/05 18:50:07.341, 210 MHz, 0 %, 26.77 W, 1 MiB
2026/07/05 18:50:08.342, 210 MHz, 0 %, 26.18 W, 1 MiB
2026/07/05 18:50:09.342, 210 MHz, 0 %, 25.66 W, 1 MiB
2026/07/05 18:50:10.342, 210 MHz, 0 %, 25.42 W, 1 MiB
2026/07/05 18:50:11.343, 210 MHz, 0 %, 25.42 W, 1 MiB
2026/07/05 18:50:12.343, 210 MHz, 0 %, 25.15 W, 1 MiB
2026/07/05 18:50:13.344, 210 MHz, 0 %, 25.07 W, 1 MiB
2026/07/05 18:50:14.344, 210 MHz, 0 %, 25.13 W, 1 MiB
2026/07/05 18:50:15.344, 210 MHz, 0 %, 24.83 W, 1 MiB
2026/07/05 18:50:16.345, 210 MHz, 0 %, 24.77 W, 1 MiB
2026/07/05 18:50:17.345, 210 MHz, 0 %, 25.25 W, 1 MiB
2026/07/05 18:50:18.346, 210 MHz, 0 %, 25.21 W, 1 MiB
2026/07/05 18:50:19.346, 210 MHz, 0 %, 24.84 W, 1 MiB
2026/07/05 18:50:20.346, 210 MHz, 0 %, 24.59 W, 1 MiB
2026/07/05 18:50:21.347, 210 MHz, 0 %, 24.50 W, 1 MiB
2026/07/05 18:50:22.347, 210 MHz, 0 %, 24.64 W, 1 MiB
2026/07/05 18:50:23.347, 210 MHz, 0 %, 24.47 W, 1 MiB
2026/07/05 18:50:24.348, 210 MHz, 0 %, 24.46 W, 1 MiB
2026/07/05 18:50:25.348, 210 MHz, 0 %, 24.61 W, 1 MiB
2026/07/05 18:50:26.349, 210 MHz, 0 %, 24.41 W, 1 MiB
2026/07/05 18:50:27.349, 210 MHz, 0 %, 24.58 W, 1 MiB
2026/07/05 18:50:28.349, 1695 MHz, 0 %, 30.80 W, 20 MiB
2026/07/05 18:50:29.350, 1695 MHz, 0 %, 118.09 W, 328 MiB
2026/07/05 18:50:30.351, 1695 MHz, 0 %, 123.56 W, 328 MiB
2026/07/05 18:50:31.351, 1695 MHz, 12 %, 123.93 W, 952 MiB
2026/07/05 18:50:32.352, 1695 MHz, 9 %, 125.20 W, 2186 MiB
2026/07/05 18:50:33.352, 1695 MHz, 9 %, 125.22 W, 3562 MiB
2026/07/05 18:50:34.353, 1695 MHz, 3 %, 124.91 W, 6002 MiB
2026/07/05 18:50:35.353, 1695 MHz, 0 %, 123.77 W, 6002 MiB
2026/07/05 18:50:36.353, 1770 MHz, 41 %, 151.12 W, 6514 MiB
2026/07/05 18:50:37.354, 1770 MHz, 32 %, 173.73 W, 6602 MiB
2026/07/05 18:50:38.354, 1695 MHz, 8 %, 158.15 W, 6712 MiB
2026/07/05 18:50:39.355, 1695 MHz, 0 %, 132.78 W, 6750 MiB
2026/07/05 18:50:40.355, 1695 MHz, 0 %, 125.51 W, 6750 MiB
2026/07/05 18:50:41.355, 1695 MHz, 0 %, 136.38 W, 7186 MiB
2026/07/05 18:50:42.356, 1695 MHz, 0 %, 131.99 W, 7186 MiB
2026/07/05 18:50:43.356, 1695 MHz, 0 %, 124.27 W, 7186 MiB
2026/07/05 18:50:44.356, 1695 MHz, 0 %, 124.15 W, 7186 MiB
2026/07/05 18:50:45.357, 1695 MHz, 0 %, 124.06 W, 7186 MiB
